sample,time_s,elapsed_s,experiment,command_x_mps,command_y_mps,command_yaw_radps,gait_mode,stair_collision_enabled,slope_collision_enabled,foot,contact,touchdown,grf_x_n,grf_y_n,grf_z_n,grf_norm_n,toe_vx_mps,toe_vy_mps,toe_vz_mps,toe_speed_mps,precontact_vx_mps,precontact_vy_mps,precontact_vz_mps,precontact_speed_mps
0,5.002,0,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-8.411766165e-09,2.881866993e-08,1.176608469e-08,3.224460103e-08,,,,
0,5.002,0,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,3.549066132e-09,7.133094515e-09,-3.139543658e-09,8.563506417e-09,,,,
0,5.002,0,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,6.826422453e-11,3.319672471e-09,1.271750527e-09,3.555592035e-09,,,,
0,5.002,0,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,2.16717462e-10,-5.032442247e-10,1.86187476e-10,5.786942062e-10,,,,
1,5.004,0.002,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-8.423672866e-09,2.879874535e-08,-0.01961998824,0.01961998824,,,,
1,5.004,0.002,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,3.555859558e-09,7.127474168e-09,-0.01962000314,0.01962000314,,,,
1,5.004,0.002,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,6.612875698e-11,3.282164343e-09,-0.01961999874,0.01961999874,,,,
1,5.004,0.002,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,2.10724293e-10,-4.84374393e-10,-0.01961999982,0.01961999982,,,,
2,5.006,0.004,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.3083099693,-0.08733257983,-0.2989223496,0.4382197939,,,,
2,5.006,0.004,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.1156492063,0.007819520465,-0.1763573919,0.2110398386,,,,
2,5.006,0.004,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.3968549808,-0.02438770595,-0.4021142675,0.5654949337,,,,
2,5.006,0.004,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.5077911359,-0.02305806307,-0.536070753,0.7387525731,,,,
3,5.008,0.006,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.561071696,-0.1836327908,-0.5050556954,0.7769193686,,,,
