gait_mode,gait_name,foot,segment_start_s,segment_end_s,segment_duration_s,sample_count,contact_ratio,touchdown_count
0,Slow trot,FL,0.0,2.984,2.984,1493,0.6684527796383122,5
0,Slow trot,FR,0.0,2.984,2.984,1493,0.4815807099799062,5
0,Slow trot,RL,0.0,2.984,2.984,1493,0.6530475552578701,41
0,Slow trot,RR,0.0,2.984,2.984,1493,0.521098459477562,21
1,Nominal trot,FL,2.986,5.984,2.9979999999999998,1500,0.512,5
1,Nominal trot,FR,2.986,5.984,2.9979999999999998,1500,0.5473333333333333,4
1,Nominal trot,RL,2.986,5.984,2.9979999999999998,1500,0.6833333333333333,13
1,Nominal trot,RR,2.986,5.984,2.9979999999999998,1500,0.49733333333333335,4
2,Fast trot,FL,5.986,8.95,2.9639999999999995,1483,0.5724881995954147,5
2,Fast trot,FR,5.986,8.95,2.9639999999999995,1483,0.5637221847606204,5
2,Fast trot,RL,5.986,8.95,2.9639999999999995,1483,0.5738368172623062,5
2,Fast trot,RR,5.986,8.95,2.9639999999999995,1483,0.5819285232636547,5
3,High-clearance trot,FL,8.952,12.0,3.048,1525,0.580983606557377,5
3,High-clearance trot,FR,8.952,12.0,3.048,1525,0.5383606557377049,4
3,High-clearance trot,RL,8.952,12.0,3.048,1525,0.6144262295081967,5
3,High-clearance trot,RR,8.952,12.0,3.048,1525,0.539016393442623,5
