observation_count,gait_mode,segment_time_s,wall_time_s,status,xwd_path,stderr
50,0,0.5,1784787834.8069646,ok,/home/rclab/r2_isaaclab_trone/artifacts/baseline_gait_contact_map_vx0p5/snapshots/mode0_t0p5s.xwd,
150,0,1.5,1784787835.8069856,ok,/home/rclab/r2_isaaclab_trone/artifacts/baseline_gait_contact_map_vx0p5/snapshots/mode0_t1p5s.xwd,
250,0,2.5,1784787836.8078222,ok,/home/rclab/r2_isaaclab_trone/artifacts/baseline_gait_contact_map_vx0p5/snapshots/mode0_t2p5s.xwd,
350,1,0.5,1784787837.8078387,ok,/home/rclab/r2_isaaclab_trone/artifacts/baseline_gait_contact_map_vx0p5/snapshots/mode1_t0p5s.xwd,
450,1,1.5,1784787838.806919,ok,/home/rclab/r2_isaaclab_trone/artifacts/baseline_gait_contact_map_vx0p5/snapshots/mode1_t1p5s.xwd,
550,1,2.5,1784787839.8075912,ok,/home/rclab/r2_isaaclab_trone/artifacts/baseline_gait_contact_map_vx0p5/snapshots/mode1_t2p5s.xwd,
650,2,0.5,1784787840.8087718,ok,/home/rclab/r2_isaaclab_trone/artifacts/baseline_gait_contact_map_vx0p5/snapshots/mode2_t0p5s.xwd,
750,2,1.5,1784787841.8070092,ok,/home/rclab/r2_isaaclab_trone/artifacts/baseline_gait_contact_map_vx0p5/snapshots/mode2_t1p5s.xwd,
850,2,2.5,1784787842.8075655,ok,/home/rclab/r2_isaaclab_trone/artifacts/baseline_gait_contact_map_vx0p5/snapshots/mode2_t2p5s.xwd,
950,3,0.5,1784787843.8110726,ok,/home/rclab/r2_isaaclab_trone/artifacts/baseline_gait_contact_map_vx0p5/snapshots/mode3_t0p5s.xwd,
1050,3,1.5,1784787844.8120012,ok,/home/rclab/r2_isaaclab_trone/artifacts/baseline_gait_contact_map_vx0p5/snapshots/mode3_t1p5s.xwd,
1150,3,2.5,1784787845.8110604,ok,/home/rclab/r2_isaaclab_trone/artifacts/baseline_gait_contact_map_vx0p5/snapshots/mode3_t2p5s.xwd,
