sample,time_s,elapsed_s,experiment,command_x_mps,command_y_mps,command_yaw_radps,gait_mode,stair_collision_enabled,slope_collision_enabled,foot,contact,touchdown,grf_x_n,grf_y_n,grf_z_n,grf_norm_n,toe_vx_mps,toe_vy_mps,toe_vz_mps,toe_speed_mps,precontact_vx_mps,precontact_vy_mps,precontact_vz_mps,precontact_speed_mps
0,5.002,0,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-8.411766165e-09,2.881866993e-08,1.176608469e-08,3.224460103e-08,,,,
0,5.002,0,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,3.549066132e-09,7.133094515e-09,-3.139543658e-09,8.563506417e-09,,,,
0,5.002,0,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,6.826422453e-11,3.319672471e-09,1.271750527e-09,3.555592035e-09,,,,
0,5.002,0,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,2.16717462e-10,-5.032442247e-10,1.86187476e-10,5.786942062e-10,,,,
1,5.004,0.002,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-8.423672866e-09,2.879874535e-08,-0.01961998824,0.01961998824,,,,
1,5.004,0.002,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,3.555859558e-09,7.127474168e-09,-0.01962000314,0.01962000314,,,,
1,5.004,0.002,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,6.612875698e-11,3.282164343e-09,-0.01961999874,0.01961999874,,,,
1,5.004,0.002,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,2.10724293e-10,-4.84374393e-10,-0.01961999982,0.01961999982,,,,
2,5.006,0.004,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.2940682436,-0.06272085375,-0.2895079579,0.4174025576,,,,
2,5.006,0.004,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.07925271341,0.02442194508,-0.1394651219,0.1622588803,,,,
2,5.006,0.004,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.4082891749,0.01171430352,-0.4616164702,0.6163822198,,,,
2,5.006,0.004,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.3597301234,0.01564107068,-0.3973953461,0.5362587677,,,,
3,5.008,0.006,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.5346520333,-0.137019837,-0.4883630558,0.7369706281,,,,
3,5.008,0.006,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.137212853,0.05561466678,-0.2296481615,0.2732373259,,,,
3,5.008,0.006,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.7269218275,-0.001568737258,-0.7751813625,1.062696546,,,,
3,5.008,0.006,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.6449485616,0.05209423489,-0.6709996333,0.9321550109,,,,
4,5.01,0.008,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.731993453,-0.2186262778,-0.6311884765,0.9909645591,,,,
4,5.01,0.008,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.1782457889,0.09113610006,-0.2968371228,0.3580357908,,,,
4,5.01,0.008,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.9746279718,-0.03303838554,-0.9886047989,1.388643463,,,,
4,5.01,0.008,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.8707752776,0.1037661422,-0.8632112319,1.23050828,,,,
5,5.012,0.01,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.894145358,-0.3042486603,-0.7303500958,1.193932339,,,,
5,5.012,0.01,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.2058577815,0.1290884488,-0.346399388,0.4231238469,,,,
5,5.012,0.01,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.16573277,-0.07737009388,-1.125343228,1.622133288,,,,
5,5.012,0.01,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.049007387,0.1662354113,-0.9926844626,1.453778921,,,,
6,5.014,0.012,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.105883403,-0.3844681277,-0.915425502,1.48620244,,,,
6,5.014,0.012,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.2710613292,0.1575043525,-0.4507449972,0.5490472819,,,,
6,5.014,0.012,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.251436312,-0.1807239781,-1.161896745,1.717194819,,,,
6,5.014,0.012,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.28376116,0.2248010798,-1.224954342,1.788600397,,,,
7,5.016,0.014,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.269390607,-0.4728736773,-1.03649778,1.705663999,,,,
7,5.016,0.014,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.3140046748,0.1919522336,-0.523921735,0.6402644611,,,,
7,5.016,0.014,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.312570065,-0.2821994866,-1.172470307,1.782459914,,,,
7,5.016,0.014,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.456254473,0.3011926821,-1.371694141,2.023101317,,,,
8,5.018,0.016,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.394137756,-0.5656911744,-1.109069906,1.869134196,,,,
8,5.018,0.016,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.3396420357,0.2300662504,-0.5736503924,0.7052389415,,,,
8,5.018,0.016,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.354254065,-0.3807900097,-1.16507454,1.826582543,,,,
8,5.018,0.016,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.579228837,0.3897984058,-1.454579034,2.182133516,,,,
9,5.02,0.018,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.487750497,-0.6599915459,-1.14560195,1.990325151,,,,
9,5.02,0.018,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.3519392546,0.2700300983,-0.6060534076,0.7510514136,,,,
9,5.02,0.018,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.380629381,-0.4757678143,-1.145826212,1.85618162,,,,
9,5.02,0.018,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.662892865,0.4861590408,-1.490935012,2.285705691,,,,
10,5.022,0.02,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.556413736,-0.7535345902,-1.155976581,2.080028834,,,,
10,5.022,0.02,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.3540720694,0.3104723873,-0.6259393377,0.7833008286,,,,
10,5.022,0.02,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.395026729,-0.5666291834,-1.119317422,1.876176883,,,,
10,5.022,0.02,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.715536354,0.5867756371,-1.494344763,2.349561001,,,,
11,5.024,0.022,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.643894425,-0.7877273605,-1.285768808,2.230718427,,,,
11,5.024,0.022,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.3079659894,0.3260640242,-0.6454613924,0.78599059,,,,
11,5.024,0.022,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.207558525,-0.6729351245,-0.9272355631,1.664573538,,,,
11,5.024,0.022,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.746329013,0.6579579274,-1.541674008,2.420605792,,,,
12,5.026,0.024,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.684926356,-0.8327797497,-1.355705232,2.317420034,,,,
12,5.026,0.024,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.2557528266,0.3425967982,-0.6544441668,0.7817155761,,,,
12,5.026,0.024,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.053475164,-0.7607952864,-0.785759516,1.518564258,,,,
12,5.026,0.024,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.742506278,0.7376108689,-1.549084502,2.445416267,,,,
13,5.028,0.026,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.690106787,-0.8845182142,-1.382642869,2.355957285,,,,
13,5.028,0.026,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.1998962773,0.3593280038,-0.6565141838,0.7746521862,,,,
13,5.028,0.026,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.9266778237,-0.8338037382,-0.683650787,1.421737972,,,,
13,5.028,0.026,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.712549219,0.8218288466,-1.529421108,2.438720239,,,,
14,5.03,0.028,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.668059706,-0.9397559775,-1.379720615,2.359913866,,,,
14,5.03,0.028,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.1423148442,0.3757493927,-0.65439248,0.767900149,,,,
14,5.03,0.028,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.8219409232,-0.8948846517,-0.6120388119,1.36051348,,,,
14,5.03,0.028,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.663337632,0.907637247,-1.492381465,2.411990856,,,,
15,5.032,0.03,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.625795182,-0.9960986129,-1.357006964,2.340275694,,,,
15,5.032,0.03,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.08448258562,0.391530078,-0.6500869013,0.7635745467,,,,
15,5.032,0.03,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.7348857116,-0.9463909018,-0.5639338842,1.324286288,,,,
15,5.032,0.03,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.600406825,0.9928157245,-1.445146578,2.373906844,,,,
16,5.034,0.032,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.664839833,-0.9963246606,-1.475879365,2.437739609,,,,
16,5.034,0.032,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,0.06595368072,0.402783002,-0.5785123536,0.7079975833,,,,
16,5.034,0.032,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.5465063303,-0.9797388096,-0.4062962382,1.193161321,,,,
16,5.034,0.032,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.599366023,1.02859166,-1.484704941,2.412534195,,,,
17,5.036,0.034,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.653542003,-1.010953162,-1.534044671,2.471744425,,,,
17,5.036,0.034,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,0.1985529779,0.4081134891,-0.5258645376,0.6946318571,,,,
17,5.036,0.034,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.4011107885,-0.9969692355,-0.3011629147,1.116036121,,,,
17,5.036,0.034,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.565828797,1.072217251,-1.488535587,2.411888855,,,,
18,5.038,0.036,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.604593871,-1.03515867,-1.549713316,2.459245072,,,,
18,5.038,0.036,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,0.3156374291,0.4089705447,-0.4885111676,0.7110042573,,,,
18,5.038,0.036,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.2893733831,-1.002356749,-0.2356644618,1.069576433,,,,
18,5.038,0.036,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.508562449,1.119989451,-1.468416881,2.38461426,,,,
19,5.04,0.038,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.528241634,-1.065281184,-1.536835576,2.414996911,,,,
19,5.04,0.038,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,0.4192123861,0.4065456574,-0.4634744749,0.7455380507,,,,
19,5.04,0.038,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.2037603203,-0.9992192825,-0.1998694898,1.0391849,,,,
19,5.04,0.038,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.434509198,1.169142192,-1.433223309,2.340692025,,,,
20,5.042,0.04,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.43271825,-1.098598894,-1.505891507,2.351023255,,,,
20,5.042,0.04,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,0.510993393,0.4018236299,-0.4483174183,0.7896613102,,,,
20,5.042,0.04,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.1382718134,-0.9900796917,-0.1861145533,1.016865535,,,,
20,5.042,0.04,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.349244759,1.217729072,-1.389370017,2.28772257,,,,
21,5.044,0.042,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.471858216,-1.10389322,-1.601037718,2.43890726,,,,
21,5.044,0.042,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,0.6266265753,0.3962408755,-0.4192532027,0.8517282103,,,,
21,5.044,0.042,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.04005748102,-0.971426813,-0.1148636826,0.9790139532,,,,
21,5.044,0.042,baseline — trained fixed gait,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.35695499,1.206461747,-1.457060559,2.328068355,,,,
22,5.046,0.044,baseline — trained fixed gait,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.4611295,-1.121801836,-1.641849557,2.467591689,,,,
22,5.046,0.044,baseline — trained fixed gait,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,0.7277999162,0.38790532,-0.4018801336,0.9174262352,,,,
22,5.046,0.044,baseline — trained fixed gait,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,0.02843778852,-0.9435487775,-0.0778103364,0.94717868,,,,
