gait_mode,gait_name,foot,segment_start_s,segment_end_s,segment_duration_s,sample_count,contact_ratio,touchdown_count
0,Slow trot,FL,0.0,2.99,2.99,1496,0.7078877005347594,4
0,Slow trot,FR,0.0,2.99,2.99,1496,0.6443850267379679,5
0,Slow trot,RL,0.0,2.99,2.99,1496,0.6102941176470589,5
0,Slow trot,RR,0.0,2.99,2.99,1496,0.6858288770053476,4
1,Nominal trot,FL,2.992,5.974,2.982,1492,0.6729222520107239,5
1,Nominal trot,FR,2.992,5.974,2.982,1492,0.6936997319034852,4
1,Nominal trot,RL,2.992,5.974,2.982,1492,0.6695710455764075,4
1,Nominal trot,RR,2.992,5.974,2.982,1492,0.6682305630026809,5
2,Fast trot,FL,5.976,8.974,2.998,1500,0.6406666666666667,5
2,Fast trot,FR,5.976,8.974,2.998,1500,0.6853333333333333,5
2,Fast trot,RL,5.976,8.974,2.998,1500,0.6613333333333333,5
2,Fast trot,RR,5.976,8.974,2.998,1500,0.6706666666666666,5
3,High-clearance trot,FL,8.976,12.0,3.023999999999999,1513,0.6754791804362195,5
3,High-clearance trot,FR,8.976,12.0,3.023999999999999,1513,0.6596166556510245,4
3,High-clearance trot,RL,8.976,12.0,3.023999999999999,1513,0.6159947124917383,4
3,High-clearance trot,RR,8.976,12.0,3.023999999999999,1513,0.6880370125578321,5
