sample,time_s,elapsed_s,experiment,command_x_mps,command_y_mps,command_yaw_radps,gait_mode,stair_collision_enabled,slope_collision_enabled,foot,contact,touchdown,grf_x_n,grf_y_n,grf_z_n,grf_norm_n,toe_vx_mps,toe_vy_mps,toe_vz_mps,toe_speed_mps,precontact_vx_mps,precontact_vy_mps,precontact_vz_mps,precontact_speed_mps
0,5.002,0,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-8.411766165e-09,2.881866993e-08,1.176608469e-08,3.224460103e-08,,,,
0,5.002,0,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,3.549066132e-09,7.133094515e-09,-3.139543658e-09,8.563506417e-09,,,,
0,5.002,0,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,6.826422453e-11,3.319672471e-09,1.271750527e-09,3.555592035e-09,,,,
0,5.002,0,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,2.16717462e-10,-5.032442247e-10,1.86187476e-10,5.786942062e-10,,,,
1,5.004,0.002,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-8.423672866e-09,2.879874535e-08,-0.01961998824,0.01961998824,,,,
1,5.004,0.002,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,3.555859558e-09,7.127474168e-09,-0.01962000314,0.01962000314,,,,
1,5.004,0.002,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,6.612875698e-11,3.282164343e-09,-0.01961999874,0.01961999874,,,,
1,5.004,0.002,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,2.10724293e-10,-4.84374393e-10,-0.01961999982,0.01961999982,,,,
2,5.006,0.004,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.209576074,0.04764878675,-0.3086146032,0.3760791287,,,,
2,5.006,0.004,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.2877812144,0.01690167035,-0.3450472718,0.4496235243,,,,
2,5.006,0.004,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.4201599248,-0.002885264371,-0.4585197919,0.6219188747,,,,
2,5.006,0.004,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.3139233064,-0.02664773199,-0.3558345612,0.4752643253,,,,
3,5.008,0.006,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.3589710367,0.07337669597,-0.5092190053,0.6273343129,,,,
3,5.008,0.006,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.5104416938,0.05271310363,-0.5785002261,0.7732993636,,,,
3,5.008,0.006,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.7526880099,-0.03111931207,-0.7733349072,1.079608508,,,,
3,5.008,0.006,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.5591052121,-0.03353891632,-0.5949439981,0.8171180196,,,,
4,5.01,0.008,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.4614224136,0.08320804472,-0.6417556292,0.7947858265,,,,
4,5.01,0.008,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.6814819028,0.101635456,-0.7402852378,1.011320712,,,,
4,5.01,0.008,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.01555292,-0.07789853698,-0.9911040819,1.421162628,,,,
4,5.01,0.008,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.7498468324,-0.02596874528,-0.7586150234,1.066977695,,,,
5,5.012,0.01,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.5273292604,0.08183441891,-0.7227841312,0.8984374888,,,,
5,5.012,0.01,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.811396355,0.1591541946,-0.8471287857,1.183774169,,,,
5,5.012,0.01,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.222654106,-0.1378850344,-1.134122214,1.673358462,,,,
5,5.012,0.01,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.8972021351,-0.00791468901,-0.8646594271,1.246061892,,,,
6,5.014,0.012,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.4716513688,0.04743825363,-0.6858075461,0.8336890259,,,,
6,5.014,0.012,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.061810332,0.1980913897,-1.100610862,1.542084838,,,,
6,5.014,0.012,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.470297781,-0.2238310564,-1.30224885,1.976797404,,,,
6,5.014,0.012,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.008452247,0.009862466703,-0.9671778096,1.397321051,,,,
7,5.016,0.014,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.4134725476,0.01535443195,-0.6474556102,0.7683710519,,,,
7,5.016,0.014,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.246057407,0.2552338877,-1.261852079,1.791667957,,,,
7,5.016,0.014,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.664896277,-0.3201367777,-1.40288663,2.20055858,,,,
7,5.016,0.014,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.083931657,0.03568048836,-1.023411492,1.491157945,,,,
8,5.018,0.016,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.3544254382,-0.01398296044,-0.6098022791,0.7054585275,,,,
8,5.018,0.016,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.377765695,0.3245069216,-1.353809067,1.958658225,,,,
8,5.018,0.016,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.816579458,-0.422779921,-1.453321408,2.364497178,,,,
8,5.018,0.016,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.131490064,0.06689367068,-1.046145387,1.542454116,,,,
9,5.02,0.018,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.2957417169,-0.04033842225,-0.5742672628,0.6472041722,,,,
9,5.02,0.018,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.467964485,0.4012310081,-1.394861597,2.06435097,,,,
9,5.02,0.018,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.93354328,-0.5285881624,-1.467276436,2.48412866,,,,
9,5.02,0.018,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.157414431,0.1014225671,-1.045424357,1.562948108,,,,
10,5.022,0.02,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.2383284751,-0.06362793068,-0.541774101,0.5952882933,,,,
10,5.022,0.02,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.525562843,0.4817428735,-1.3996201,2.125642164,,,,
10,5.022,0.02,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-2.022459304,-0.6350854663,-1.455479146,2.571399372,,,,
10,5.022,0.02,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.166768002,0.1376800148,-1.0289826,1.561764562,,,,
11,5.024,0.022,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.1748920248,-0.07963905157,-0.5385018644,0.5717638121,,,,
11,5.024,0.022,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.670945624,0.5141509599,-1.546080461,2.333832745,,,,
11,5.024,0.022,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-2.052972739,-0.7298902856,-1.449791507,2.617122907,,,,
11,5.024,0.022,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.120396226,0.1706447679,-1.012509237,1.519730995,,,,
12,5.026,0.024,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.1096981566,-0.09486801193,-0.5311306372,0.550575498,,,,
12,5.026,0.024,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.757529382,0.5617950457,-1.617828822,2.453954624,,,,
12,5.026,0.024,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-2.060496759,-0.8251915317,-1.423557959,2.636874138,,,,
12,5.026,0.024,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.063457634,0.2046084677,-0.9855946616,1.464309941,,,,
13,5.028,0.026,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.04433220784,-0.1089931206,-0.5217665656,0.5348693242,,,,
13,5.028,0.026,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.798455185,0.6191039946,-1.636357647,2.509063004,,,,
13,5.028,0.026,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-2.050317665,-0.9190726061,-1.384246629,2.639059627,,,,
13,5.028,0.026,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.9995224827,0.2385987597,-0.9529585151,1.401465124,,,,
14,5.03,0.028,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.02000644853,-0.1218413381,-0.5119251314,0.5266050796,,,,
14,5.03,0.028,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.804518851,0.681878149,-1.618316074,2.517973989,,,,
14,5.03,0.028,tip toe — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-2.02670612,-1.010108227,-1.337394516,2.62992023,,,,
14,5.03,0.028,tip toe — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.9313931559,0.2719066605,-0.9180135104,1.33573023,,,,
15,5.032,0.03,tip toe — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,0.08242966533,-0.1333457382,-0.5026673595,0.526545544,,,,
15,5.032,0.03,tip toe — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-1.78447877,0.746913332,-1.576487129,2.495507098,,,,
